file_path,feature
Shahram Shokoohi Modara.mp3,"[-90.890114  133.974     -19.360697   46.949894  -22.702286   30.425833
 -17.528316   19.87208    -7.88077    -2.5849514  -9.691179   -4.111178
   2.9585934]"
Reza Yazdani - Mahtab Too Fanous.mp3,"[-183.77046    128.2661       6.2026024   44.097076   -12.513285
   23.374622    -5.029012     1.1774759  -12.144627    -4.457645
  -13.008541    -6.844123    -3.142352 ]"
Reza Yazdani - Parandeh Bi Parandeh.mp3,"[-174.31953    116.98717     -6.700568    38.93881     10.210416
    7.986036   -11.2171135   11.128525    -2.0969353   -1.9388202
   -9.199368     3.5947168   -0.5192334]"
Reza-Yazdani.Sigar-Poshte-Sigar(320).mp3,"[-179.39333     153.07652      10.68405      50.735554     -6.521859
   24.537918     -7.9258885     5.9418664     0.35621992    6.7461524
  -11.789745     -6.0752606    -1.0808452 ]"
Hoomaan-Amin-Tijay-Nistam-Bat-(Ft-Aryna).mp3,"[-151.24599    121.98101    -14.008056    35.791706   -14.510919
   30.529987   -13.306581     4.5714517   -1.4244934   -4.460951
   -4.6874623   -1.0492594   -7.1251445]"
Kalagh - Shervin Hajipour  Ashkan Kagan (320).mp3,"[-191.89124     120.25301      18.084581     31.858795    -18.413393
   16.496576    -12.949504     -0.48137772  -10.21614     -15.434615
  -12.411386      0.636974     -2.5748987 ]"
1728825060_Sinazza - Love Song [Prod. Arsam].mp3,"[-161.83476    141.42688      8.477568    37.46207    -12.506665
   27.384615   -11.5683975    7.9269214    1.0561999   -4.160559
    2.0071185    4.849772     2.1474094]"
Sattar Leila Forouhar Hamid Talebzadeh Medley.mp3,"[-144.36336    143.08849     -8.788844    55.51781     -6.762377
   28.339268   -10.451746    11.433081    -2.7713146   -2.2760987
   -8.087245    -3.650218    -1.9070592]"
رپ ایران-Mikh -Sajadi.mp3,"[-182.79584    131.29083     -4.434025    35.956047    -1.8990463
   24.626434    -9.835628     6.554328    -2.0072985    3.1146266
   -6.688531    -1.0275226   -1.6339226]"
@RapRelease - Pol - Meraj Tehrani.mp3,"[-135.3413     150.99852      5.169709    52.273933   -11.090993
   28.27957    -17.510082    15.793222    -1.307425     1.9666843
   -6.36837     -1.0594528    3.5967724]"
Moer-Middle-East.mp3,"[-155.87749     140.0793       -7.0329003    44.02781      -8.770452
   22.448608     -5.0172353    -0.77483785   -4.8454785     3.7708755
   -1.8158786    -2.9140372     0.95461047]"
4_583456755812402106.MP3,"[-258.36624    179.06454    -33.63444     27.24987     64.79428
    5.2710958  -13.655703   -28.846107   -32.791794    -1.4504856
    1.6000357   -6.4877806    4.1120176]"
"@RapRelease - Romance - Canis, Behzad Leito.mp3","[-116.00817    152.33704    -15.56205     31.126307   -14.325701
   25.712572    -5.497882     9.395298     5.652479     2.3502145
   -2.7825568   13.22088      3.171753 ]"
"@RapRelease - Fargh Mikardim - Canis, Chvrsi.mp3","[-132.52777     141.21353       8.087459     40.920177     -8.258649
   36.333977     -5.9258385     9.399593      9.570057      1.7149717
   -2.7767026     9.544517      0.46606988]"
"@RapRelease - Dele Man -  Canis, Mehrad Hidden.mp3","[-164.26944    145.82301      9.66497     29.433012    -5.9025364
   20.038025   -14.878077     5.876736    -5.1578555   -5.483454
  -11.477497     1.8997918   -4.0609417]"
"@RapRelease - Chikar Daram - Canis, Shayea.mp3","[-128.59146    157.27762    -15.401628    30.054262   -16.068449
   26.674402   -10.542694     7.922448     7.0817556    1.5314903
   -5.1290874    6.332339     4.687541 ]"
EpiCure-Golaye-Sabz-(Ft-Tensi).mp3,"[-150.85031     144.84673      -8.31449      36.054893     -6.374173
   25.746407    -10.559462     11.240514     -0.83494747    3.0768776
   -3.1955724     0.9095479     2.5702212 ]"
EpiCure-Miam-Pishet-Dadash-320.mp3,"[-1.8952925e+02  1.3864050e+02  3.2909489e+00  2.0309013e+01
  7.1649075e+00  2.0626268e+01 -1.1662163e+01  3.0305295e+00
 -2.9279611e+00 -6.4992048e-02 -9.6677427e+00  2.0862417e+00
 -5.0724373e+00]"
1605893544.mp3,"[-289.77872    170.73776    -13.945276    15.084718     8.678322
    3.4018862  -16.7092       9.204322    -1.8943694  -20.030064
    4.0345263   -1.6247649  -18.108658 ]"
"Dadash - Bbal, Raavi.mp3","[-158.28188    160.14644      6.2210712   19.985909   -15.4630375
   12.611837    -5.2260947    6.948549    -3.423278    -4.8376536
   -4.914546    -2.3073869   -2.9309378]"
Jonoon.mp3,"[-200.39485    177.1643       4.5093913   26.069487    -1.442226
   -3.269598     1.6081191    2.4974906   -4.880382    -2.269175
   -3.4128568    4.7194996    2.7342932]"
Noghteye Bedoone Bazgasht.mp3,"[-167.39388    159.05399     -8.854771    24.300653   -13.921438
   21.533058   -16.110195     7.3241205    4.1719675    2.24121
   -7.1018877    9.944041    -1.5783584]"
Koja Boodi.mp3,"[-173.17644    133.32585     -7.9655976   33.1199      -5.0458794
   14.374927    -6.947235     5.244923    -0.946072     1.1717466
   -8.759123    -5.722516     2.4708314]"
122270561.mp3,"[-159.32335     122.66846      -8.202006     37.16543     -17.242004
   35.053253     -8.178261     -0.18033129   -3.415286      3.3618853
   -4.566138      1.8049892     1.9220635 ]"
@Free_RapHipHop_Coco_Arman_Miladi_Young_Sudden_Hoomaan_320.mp3,"[-121.496506   110.97382    -30.01512     30.394655   -24.910864
   35.142475    -6.1244345    7.0334754   -1.6758466    5.659973
   -9.597925     1.5259627   -0.6709069]"
remix_sorena&sadegh&shayea&navid&tes_zire_hasht.mp3,"[-7.1640648e+01  1.4424950e+02 -1.9580921e+01  4.5440437e+01
 -1.8973259e+01  2.4410509e+01 -1.4642315e+01  4.6733384e+00
 -4.5214877e+00 -7.1095943e-02 -9.5640526e+00 -2.0114644e+00
 -4.6509891e+00]"
293298207_.mp3,"[-262.74335    165.08775    -20.170477    33.792015     3.4458659
   13.942278    -8.675714     3.454754     3.720842    -6.704577
   -1.822695    -5.0868044    1.0377401]"
Fereidoon Foroughi - Gharieh.mp3,"[-325.59924    142.54514      4.6694283   20.933807    10.524647
    7.5962915    1.6132191   -1.9654777   -2.5573986   -6.3403735
  -10.010503    -6.9139524   -7.6182046]"
Raindrops _ Insane ( Feat Travis ).mp3,"[-119.78012    145.56004     -2.3462222   39.194958   -10.742823
   26.481447    -4.389806    -1.8419557   -2.9332151   -2.2988493
   -3.7320087    4.40423     -2.521937 ]"
Mahyar - Bishtar Az Hamishe (128).mp3,"[-171.06464    131.1754       9.533504    36.05709    -12.49398
   24.479137    -9.452198     8.515278    -3.7801297    1.6410949
   -1.8352255   -2.8783782   -2.938735 ]"
sara - Mohre Mar.mp3,"[-93.11059   127.392624  -10.112754   57.42585   -17.479134   33.923653
 -15.198908   11.60179    -6.777967    4.6641493  -6.130205   -1.3926747
  -1.1474067]"
Various Artist - Khanevadeghi 2.mp3,"[-110.186325   124.18649    -18.135326    41.952377   -19.29213
   28.31506    -10.524822    14.3435      -2.2915566    6.793757
   -1.5002406    3.3076572    2.8378375]"
Zhak - Hamishe.mp3,"[-106.75623     109.692604     -1.3389593    28.183186    -10.513888
   15.700728    -19.59541      16.405678    -12.616374     -6.8281837
    0.40079755   -3.2598512   -10.817823  ]"
Zhak _ To Boodi (320).mp3,"[-174.25946    110.4393      18.293724    36.57961    -17.639938
   13.889789   -10.814519    12.903425    -9.885691    -4.8386497
    5.9049945   -7.08194     -8.599762 ]"
Zhak - Akharin Baghal.mp3,"[-168.81685    145.12468      7.3458695   21.034634   -14.046145
   25.344925    -1.8194062   11.027635    -8.035302    -0.8974904
    7.4614844   -2.6085906    0.9842226]"
Sohrab Pakzad - Dokhtar Irooni.mp3,"[-103.1546      110.37115       2.9893935    48.792194    -12.407098
   37.64748     -11.622162     13.818043     -4.3362765    12.363455
   -9.270639     -0.26692006   -0.46560803]"
Na_Mimiram_Na_Barmigardam__320.mp3,"[-97.758415  125.711525  -20.017637   47.346855   -7.397526   24.124212
  -3.557108   14.141138   -3.145758    2.221929   -4.6749144   6.796868
  -2.1191266]"
Saren - Bargard Baby 128.mp3,"[-2.6540546e+02  1.4450566e+02  1.7252132e+01  2.5801306e+01
 -4.0030713e+00  1.3565811e+01 -1.1857335e+01  4.8774562e+00
 -7.7204399e+00 -7.2823901e+00  4.5205870e+00 -1.6446435e-01
 -5.8627305e+00]"
Koorosh - Gharibe.mp3,"[-211.86676     113.17922      18.168419     30.830065    -18.531006
   21.395039     -6.1623216     7.289464     -8.372986     -0.82363325
   -7.104269     -4.756939     -5.8684416 ]"
Drake-God s-Plan-320.mp3,"[-188.09146    126.8373     -14.625196     8.264234    -8.085803
   17.778656   -11.802443    -5.007533    -5.8159666    1.9879285
   -4.0026965   -3.518318    -4.5754514]"
k.mp3,"[-324.59854    115.74467    -16.099901    -3.4301984    3.9205942
  -22.657017   -13.778581    -3.6879947   -9.103619   -12.170947
  -13.296782    -9.017261    -4.898167 ]"
Ahang-JadidSado-Zado-Ta-128.mp3,"[-102.38548   132.10312   -16.50436    41.378963  -15.064808   22.541462
  -16.116833   13.036987   -5.751738    3.072921   -8.715758    4.339821
   -4.825123]"
1|1 - Señorita - Shawn Mendes  Camila Cabello (320).mp3,"[-115.994125   127.6871     -19.386215    47.638557    -9.411975
   32.82498     -5.6365976   10.11323     -3.3741632    2.4845426
    7.5127196    0.617102    -1.7858783]"
Siamak-Abbasi-Shahre-Barooni-(Ft-Mohammad-Raad)-256.mp3,"[-195.99504    147.96861      6.288656    40.78422      3.697109
   16.550034    -9.824743     1.1345216   -4.490306    -3.477865
   -9.363878     2.8310952   -3.255511 ]"
06 Kenaram.mp3,"[-1.4430844e+02  1.3281641e+02 -1.6681321e+00  2.1786777e+01
 -2.3728434e+01  1.0572620e+01 -1.4296075e+01 -2.0470617e+00
 -1.1531299e+01  4.5909390e-02 -1.0272303e+01 -6.1268406e+00
 -9.7874117e+00]"
03 Fasele (Feat Navid).mp3,"[-159.92831    170.33357      2.0044255    8.17626    -12.782957
   19.88815     -2.4748185    3.8393338  -10.488624    -2.603692
   -6.6185064   -3.6127994    1.2295903]"
Asemoon male toe.mp3,"[-156.85378     125.03425      -3.112402     52.640938     -1.8226314
   28.153828     -0.41436026   10.93011       1.6428117     3.1392498
   -3.4398465     5.53371      -0.6852175 ]"
Behzad Leito - Ashk.mp3,"[-120.67085    119.97837     -7.321411    41.58898    -18.913324
   31.726934    -5.7929606    6.242037    -6.770002     2.339452
   -7.8263855    5.9621844    2.62117  ]"
11_Faramoush_feat_Arman_Garshasbi_Kabin_Arman_Garshasbi_320.mp3,"[-194.58315    147.57687     10.472423    28.45252      5.794571
   14.67229     -6.0934653    2.2378025   -6.5614414   -2.5723884
   -8.459916    -0.6623203   -1.1578472]"
Masn - Hold Me.mp3,"[-189.54402    117.68426     -9.409339    27.71128     -7.553323
   14.186851   -12.830921     7.261576    -7.0003      -3.0272238
    1.5690248   -8.182738    -6.952535 ]"
Gord - Panah.mp3,"[-184.68358    142.57571      7.808916    39.168236     4.6792808
   18.762976    -8.623856     6.453526     1.6549479   -5.08502
   -0.9864251    4.2781143   -0.8097143]"
Ahmad Zaher - Zim Zim (320).mp3,"[-169.78291    206.08148    -53.769306    26.580307    10.207811
   -9.627989     5.753452   -12.712617    -1.070611    -4.8291554
   -6.27494      2.3011367   -1.958434 ]"
Ahmad Zaher Khoda Bovad Yarat.mp3,"[-2.0042865e+02  2.0036034e+02 -5.9425259e+01 -2.5933475e+00
  3.1325159e+01 -2.1779642e+00  4.4363251e+00  1.7834118e-01
 -3.1370699e+00 -3.8166835e+00 -7.5417051e+00  8.5987216e-01
 -1.4228189e+00]"
Sahar Mohammadi - Saaghar.mp3,"[-261.59982    121.51701     20.02879     37.593494     0.8735934
    6.3390903  -14.007612     7.911528     1.5514206  -15.548037
   -6.480918     5.274967   -15.507325 ]"
1|6 - Didi Ke Rosva Shod Delam - Marzieh (320).mp3,"[-212.86673    166.83443    -33.023235     9.70231     13.959668
   -2.1781006   -7.495079     3.040146    -4.2871523   -8.412007
   -1.971676    -5.2105403   -7.1129003]"
Alireza Eftekhari - Be Donbale Del (320).mp3,"[-230.7748      145.34126     -24.756342     11.503407      1.572322
   20.820492    -19.434364     12.698519      2.060814     -7.451724
   -0.81877226   -6.2950177     1.8608576 ]"
Solmaz_Badri_Didi_ke_Rosva_shod_Delam_دیدی_که_رسوا_شد_دلم.mp3,"[-264.40085    171.35826     28.631287    34.014183    11.692496
   16.54316     -1.3854909   18.563816     6.66401     -8.84258
   10.08564     -7.8501782  -10.735457 ]"
Aida Shahghasemi.mp3,"[-3.9011713e+02  7.7247139e+01  1.3996178e+01  2.6728483e+01
  9.1439629e+00  1.8778463e-01 -7.8067355e+00  7.6454301e+00
 -3.2916327e+00 -1.7346600e+01 -2.9207728e+00 -1.1690963e+01
 -1.4959026e+01]"
Solmaz Badri - Ba Man Sanama با من صنما.mp3,"[-387.73154     79.03819    -11.0697775   12.996406    -7.8578286
   -5.240567   -17.52731      1.0866474   -8.533903   -26.023897
   -5.4374447   -4.6072097  -23.64537  ]"
4_5877599535542305752.mp3,"[-349.6143     156.76865     23.154636    28.587456     6.3370037
   10.372163   -17.231953    -1.7134446   -8.74442    -18.01925
   -3.3822756   -8.515924    -9.054894 ]"
April Rain – One Is Glad To Be Of Service.mp3,"[-195.9572     168.76802    -25.194065    24.032467     5.43935
    9.529524    -5.3580384   -4.5905857   -1.101286    -7.421706
   -5.6752605   -6.517233    -4.6964264]"
1727041162_Alphaeus - Violin (Prod By. BeatCarlito).mp3,"[-2.0634761e+02  1.2068405e+02 -6.0367745e-01  5.4315090e+01
  9.1335982e-02  2.3676910e+01 -3.2659509e+00  5.7555289e+00
  3.5859883e+00  9.5079446e-01  3.4620969e+00  5.6664529e+00
  9.1114074e-01]"
Big Shaggy - Esm Nadareh Freestyle.mp3,"[-237.69228     126.689       -16.849848     43.27854       1.3248223
   11.753726     -6.1396475    -0.45368725   -6.2823987    -9.703952
   -3.2647295    -9.413268     -5.239663  ]"
